date,observed
2005-07-24T00:00:00Z,0
2005-07-24T00:30:00Z,0
2005-07-24T01:00:00Z,0
2005-07-24T01:30:00Z,0
2005-07-24T02:00:00Z,0
2005-07-24T02:30:00Z,0
2005-07-24T03:00:00Z,0
2005-07-24T03:30:00Z,0
2005-07-24T04:00:00Z,0
2005-07-24T04:30:00Z,0
2005-07-24T05:00:00Z,0
2005-07-24T05:30:00Z,0
2005-07-24T06:00:00Z,0
2005-07-24T06:30:00Z,0
2005-07-24T07:00:00Z,0
2005-07-24T07:30:00Z,3
2005-07-24T08:00:00Z,0
2005-07-24T08:30:00Z,0
2005-07-24T09:00:00Z,1
2005-07-24T09:30:00Z,1
2005-07-24T10:00:00Z,0
2005-07-24T10:30:00Z,0
2005-07-24T11:00:00Z,0
2005-07-24T11:30:00Z,0
2005-07-24T12:00:00Z,0
2005-07-24T12:30:00Z,0
2005-07-24T13:00:00Z,0
2005-07-24T13:30:00Z,0
2005-07-24T14:00:00Z,0
2005-07-24T14:30:00Z,0
2005-07-24T15:00:00Z,0
2005-07-24T15:30:00Z,2
2005-07-24T16:00:00Z,0
2005-07-24T16:30:00Z,1
2005-07-24T17:00:00Z,1
2005-07-24T17:30:00Z,1
2005-07-24T18:00:00Z,4
2005-07-24T18:30:00Z,0
2005-07-24T19:00:00Z,0
2005-07-24T19:30:00Z,2
2005-07-24T20:00:00Z,0
2005-07-24T20:30:00Z,0
2005-07-24T21:00:00Z,0
2005-07-24T21:30:00Z,0
2005-07-24T22:00:00Z,0
2005-07-24T22:30:00Z,0
2005-07-24T23:00:00Z,0
2005-07-24T23:30:00Z,0
2005-07-25T00:00:00Z,0
2005-07-25T00:30:00Z,0
2005-07-25T01:00:00Z,0
2005-07-25T01:30:00Z,0
2005-07-25T02:00:00Z,0
2005-07-25T02:30:00Z,0
2005-07-25T03:00:00Z,0
2005-07-25T03:30:00Z,0
2005-07-25T04:00:00Z,0
2005-07-25T04:30:00Z,0
2005-07-25T05:00:00Z,0
2005-07-25T05:30:00Z,2
2005-07-25T06:00:00Z,2
2005-07-25T06:30:00Z,1
2005-07-25T07:00:00Z,2
2005-07-25T07:30:00Z,0
2005-07-25T08:00:00Z,0
2005-07-25T08:30:00Z,7
2005-07-25T09:00:00Z,6
2005-07-25T09:30:00Z,13
2005-07-25T10:00:00Z,16
2005-07-25T10:30:00Z,5
2005-07-25T11:00:00Z,3
2005-07-25T11:30:00Z,5
2005-07-25T12:00:00Z,9
2005-07-25T12:30:00Z,2
2005-07-25T13:00:00Z,12
2005-07-25T13:30:00Z,18
2005-07-25T14:00:00Z,10
2005-07-25T14:30:00Z,7
2005-07-25T15:00:00Z,17
2005-07-25T15:30:00Z,10
2005-07-25T16:00:00Z,8
2005-07-25T16:30:00Z,5
2005-07-25T17:00:00Z,0
2005-07-25T17:30:00Z,3
2005-07-25T18:00:00Z,1
2005-07-25T18:30:00Z,0
2005-07-25T19:00:00Z,4
2005-07-25T19:30:00Z,3
2005-07-25T20:00:00Z,0
2005-07-25T20:30:00Z,0
2005-07-25T21:00:00Z,3
2005-07-25T21:30:00Z,2
2005-07-25T22:00:00Z,0
2005-07-25T22:30:00Z,0
2005-07-25T23:00:00Z,0
2005-07-25T23:30:00Z,0
2005-07-26T00:00:00Z,0
2005-07-26T00:30:00Z,0
2005-07-26T01:00:00Z,0
2005-07-26T01:30:00Z,0
2005-07-26T02:00:00Z,0
2005-07-26T02:30:00Z,0
2005-07-26T03:00:00Z,0
2005-07-26T03:30:00Z,0
2005-07-26T04:00:00Z,0
2005-07-26T04:30:00Z,0
2005-07-26T05:00:00Z,0
