"date","observed"
"2018-09-15T01:38:00.00Z",10003155
"2018-09-15T01:39:00.00Z",12209773
"2018-09-15T01:40:00.00Z",9845316
"2018-09-15T01:41:00.00Z",15090860
"2018-09-15T01:42:00.00Z",11650443
"2018-09-15T01:43:00.00Z",11198959
"2018-09-15T01:44:00.00Z",10705800
"2018-09-15T01:45:00.00Z",11612453
"2018-09-15T01:46:00.00Z",10603704
"2018-09-15T01:47:00.00Z",12840333
"2018-09-15T01:48:00.00Z",11607742
"2018-09-15T01:49:00.00Z",14090118
"2018-09-15T01:50:00.00Z",12503656
"2018-09-15T01:51:00.00Z",11430310
"2018-09-15T01:52:00.00Z",11287341
"2018-09-15T01:53:00.00Z",12189929
"2018-09-15T01:54:00.00Z",13481405
"2018-09-15T01:55:00.00Z",11754030
"2018-09-15T01:56:00.00Z",9515316
"2018-09-15T01:57:00.00Z",11560561
"2018-09-15T01:58:00.00Z",11368592
"2018-09-15T01:59:00.00Z",13096439
"2018-09-15T02:00:00.00Z",12383984
"2018-09-15T02:01:00.00Z",13998850
"2018-09-15T02:02:00.00Z",11747709
"2018-09-15T02:03:00.00Z",10297985
"2018-09-15T02:04:00.00Z",11398019
"2018-09-15T02:05:00.00Z",11548828
"2018-09-15T02:06:00.00Z",12444448
"2018-09-15T02:07:00.00Z",11317156
"2018-09-15T02:08:00.00Z",10072614
"2018-09-15T02:09:00.00Z",12830594
"2018-09-15T02:10:00.00Z",12983727
"2018-09-15T02:11:00.00Z",11715123
"2018-09-15T02:12:00.00Z",11428312
"2018-09-15T02:13:00.00Z",10992436
"2018-09-15T02:14:00.00Z",8840750
"2018-09-15T02:15:00.00Z",14254930
"2018-09-15T02:16:00.00Z",12536652
"2018-09-15T02:17:00.00Z",12758809
"2018-09-15T02:18:00.00Z",11725827
"2018-09-15T02:19:00.00Z",10630919
"2018-09-15T02:20:00.00Z",13976309
"2018-09-15T02:21:00.00Z",11311778
"2018-09-15T02:22:00.00Z",11450180
"2018-09-15T02:23:00.00Z",10184984
"2018-09-15T02:24:00.00Z",11761000
"2018-09-15T02:25:00.00Z",10748986
"2018-09-15T02:26:00.00Z",10527768
"2018-09-15T02:27:00.00Z",13086033
"2018-09-15T02:28:00.00Z",12911846
"2018-09-15T02:29:00.00Z",9674961
"2018-09-15T02:30:00.00Z",11433571
"2018-09-15T02:31:00.00Z",10926364
"2018-09-15T02:32:00.00Z",8496843
"2018-09-15T02:33:00.00Z",10850333
"2018-09-15T02:34:00.00Z",11776304
"2018-09-15T02:35:00.00Z",11868852
"2018-09-15T02:36:00.00Z",13078175
"2018-09-15T02:37:00.00Z",13491281
"2018-09-15T02:38:00.00Z",9398164
"2018-09-15T02:39:00.00Z",11045333
"2018-09-15T02:40:00.00Z",10178759
"2018-09-15T02:41:00.00Z",11252200
"2018-09-15T02:42:00.00Z",11259161
"2018-09-15T02:43:00.00Z",12550653
"2018-09-15T02:44:00.00Z",10618510
"2018-09-15T02:45:00.00Z",10624564
"2018-09-15T02:46:00.00Z",13053230
"2018-09-15T02:47:00.00Z",11954964
"2018-09-15T02:48:00.00Z",11562426
"2018-09-15T02:49:00.00Z",11481527
"2018-09-15T02:50:00.00Z",8630600
"2018-09-15T02:51:00.00Z",11622377
"2018-09-15T02:52:00.00Z",11885133
"2018-09-15T02:53:00.00Z",12095867
"2018-09-15T02:54:00.00Z",14048891
"2018-09-15T02:55:00.00Z",11251900
"2018-09-15T02:56:00.00Z",10320138
"2018-09-15T02:57:00.00Z",12196804
"2018-09-15T02:58:00.00Z",9528892
"2018-09-15T02:59:00.00Z",10284359
"2018-09-15T03:00:00.00Z",10416136
"2018-09-15T03:01:00.00Z",9291800
"2018-09-15T03:02:00.00Z",10906389
"2018-09-15T03:03:00.00Z",16232833
"2018-09-15T03:04:00.00Z",13866089
"2018-09-15T03:05:00.00Z",12485983
"2018-09-15T03:06:00.00Z",10419825
"2018-09-15T03:07:00.00Z",11634683
"2018-09-15T03:08:00.00Z",11315400
"2018-09-15T03:09:00.00Z",13756245
"2018-09-15T03:10:00.00Z",13187912
"2018-09-15T03:11:00.00Z",12090695
"2018-09-15T03:12:00.00Z",11742617
"2018-09-15T03:13:00.00Z",12443031
"2018-09-15T03:14:00.00Z",12198585
"2018-09-15T03:15:00.00Z",9921931
