date,current
6/2/19 0:00,191
6/2/19 0:05,633
6/2/19 0:10,390
6/2/19 0:15,292
6/2/19 0:20,84
6/2/19 0:25,473
6/2/19 0:30,345
6/2/19 0:35,449
6/2/19 0:40,578
6/2/19 0:45,511
6/2/19 0:50,521
6/2/19 0:55,580
6/2/19 1:00,158
6/2/19 1:05,462
6/2/19 1:10,506
6/2/19 1:15,31
6/2/19 1:20,96
6/2/19 1:25,646
6/2/19 1:30,671
6/2/19 1:35,532
6/2/19 1:40,429
6/2/19 1:45,570
6/2/19 1:50,72
6/2/19 1:55,54
6/2/19 2:00,362
6/2/19 2:05,296
6/2/19 2:10,390
6/2/19 2:15,15
6/2/19 2:20,607
6/2/19 2:25,371
6/2/19 2:30,353
6/2/19 2:35,441
6/2/19 2:40,35
6/2/19 2:45,263
6/2/19 2:50,626
6/2/19 2:55,150
6/2/19 3:00,645
6/2/19 3:05,699
6/2/19 3:10,534
6/2/19 3:15,142
6/2/19 3:20,460
6/2/19 3:25,476
6/2/19 3:30,575
6/2/19 3:35,285
6/2/19 3:40,286
6/2/19 3:45,662
6/2/19 3:50,636
6/2/19 3:55,68
6/2/19 4:00,123
6/2/19 4:05,568
6/2/19 4:10,87
6/2/19 4:15,434
6/2/19 4:20,108
6/2/19 4:25,55
6/2/19 4:30,421
6/2/19 4:35,349
6/2/19 4:40,53
6/2/19 4:45,307
6/2/19 4:50,572
6/2/19 4:55,116
6/2/19 5:00,206
6/2/19 5:05,645
6/2/19 5:10,19
6/2/19 5:15,206
6/2/19 5:20,33
6/2/19 5:25,455
6/2/19 5:30,601
6/2/19 5:35,354
6/2/19 5:40,623
6/2/19 5:45,409
6/2/19 5:50,114
6/2/19 5:55,356
6/2/19 6:00,540
6/2/19 6:05,355
6/2/19 6:10,678
6/2/19 6:15,648
6/2/19 6:20,301
6/2/19 6:25,601
6/2/19 6:30,27
6/2/19 6:35,161
6/2/19 6:40,503
6/2/19 6:45,382
6/2/19 6:50,162
6/2/19 6:55,589
6/2/19 7:00,105
6/2/19 7:05,600
6/2/19 7:10,278
6/2/19 7:15,415
6/2/19 7:20,263
6/2/19 7:25,609
6/2/19 7:30,178
6/2/19 7:35,567
6/2/19 7:40,411
6/2/19 7:45,580
6/2/19 7:50,375
6/2/19 7:55,600
6/2/19 8:00,464
6/2/19 8:05,533
6/2/19 8:10,668
6/2/19 8:15,578
6/2/19 8:20,662
6/2/19 8:25,467
6/2/19 8:30,548
6/2/19 8:35,591
6/2/19 8:40,497
6/2/19 8:45,156
6/2/19 8:50,478
6/2/19 8:55,332
6/2/19 9:00,50
6/2/19 9:05,452
6/2/19 9:10,132
6/2/19 9:15,303
6/2/19 9:20,410
6/2/19 9:25,245
6/2/19 9:30,427
6/2/19 9:35,211
6/2/19 9:40,90
6/2/19 9:45,246
6/2/19 9:50,595
6/2/19 9:55,500
6/2/19 10:00,537
6/2/19 10:05,85
6/2/19 10:10,618
6/2/19 10:15,528
6/2/19 10:20,514
6/2/19 10:25,350
6/2/19 10:30,365
6/2/19 10:35,147
6/2/19 10:40,288
6/2/19 10:45,259
6/2/19 10:50,160
6/2/19 10:55,556
6/2/19 11:00,493
6/2/19 11:05,258
6/2/19 11:10,490
6/2/19 11:15,213
6/2/19 11:20,393
6/2/19 11:25,601
6/2/19 11:30,140
6/2/19 11:35,236
6/2/19 11:40,185
6/2/19 11:45,177
6/2/19 11:50,296
6/2/19 11:55,468
6/2/19 12:00,230
6/2/19 12:05,27
6/2/19 12:10,644
6/2/19 12:15,406
6/2/19 12:20,660
6/2/19 12:25,542
6/2/19 12:30,288
6/2/19 12:35,397
6/2/19 12:40,35
6/2/19 12:45,467
6/2/19 12:50,226
6/2/19 12:55,160
6/2/19 13:00,551
6/2/19 13:05,505
6/2/19 13:10,85
6/2/19 13:15,46
6/2/19 13:20,402
6/2/19 13:25,283
6/2/19 13:30,173
6/2/19 13:35,369
6/2/19 13:40,493
6/2/19 13:45,520
6/2/19 13:50,403
6/2/19 13:55,388
6/2/19 14:00,31
6/2/19 14:05,112
6/2/19 14:10,100
6/2/19 14:15,635
6/2/19 14:20,118
6/2/19 14:25,684
6/2/19 14:30,483
6/2/19 14:35,540
6/2/19 14:40,266
6/2/19 14:45,193
6/2/19 14:50,513
6/2/19 14:55,551
6/2/19 15:00,81
6/2/19 15:05,673
6/2/19 15:10,293
6/2/19 15:15,623
6/2/19 15:20,403
6/2/19 15:25,127
6/2/19 15:30,484
6/2/19 15:35,369
6/2/19 15:40,86
6/2/19 15:45,50
6/2/19 15:50,286
6/2/19 15:55,557
6/2/19 16:00,101
6/2/19 16:05,83
6/2/19 16:10,195
6/2/19 16:15,345
6/2/19 16:20,634
6/2/19 16:25,36
6/2/19 16:30,364
6/2/19 16:35,127
6/2/19 16:40,141
6/2/19 16:45,595
6/2/19 16:50,690
6/2/19 16:55,539
6/2/19 17:00,32
6/2/19 17:05,80
6/2/19 17:10,360
6/2/19 17:15,456
6/2/19 17:20,565
6/2/19 17:25,163
